timeJ,axJ,ayJ,azJ,aTJ
2.377,-0.0859,0.0444,-0.2492,0.267
2.38,-0.1155,0.0668,-0.218,0.256
2.385,-0.1826,0.1469,-0.1724,0.291
2.39,-0.2086,0.196,-0.1078,0.306
2.394,-0.1963,0.1926,-0.0887,0.289
2.399,-0.1673,0.1392,-0.0385,0.221
2.404,-0.1867,0.0861,-0.005,0.206
2.409,-0.1824,0.0571,-0.0099,0.191
2.414,-0.1164,0.0378,-0.0434,0.13
2.419,-0.0935,0.0832,-0.1653,0.207
2.424,-0.0869,0.1339,-0.299,0.339
2.429,-0.0919,0.1399,-0.3512,0.389
2.433,-0.0894,0.1112,-0.3412,0.37
2.438,-0.1107,0.0523,-0.2643,0.291
2.516,-0.1416,0.0585,-0.2114,0.261
2.516,-0.1152,0.0506,-0.1752,0.216
2.516,-0.0814,0.028,-0.1248,0.152
2.516,-0.0495,0.0025,-0.0864,0.1
2.517,-0.0699,-0.0119,-0.0409,0.082
2.517,-0.0688,-0.0152,-0.0313,0.077
2.517,-0.0413,-0.034,-0.0146,0.055
2.517,0.0005,-0.0826,-0.0003,0.083
2.517,0.0571,-0.0606,-0.0363,0.091
2.517,0.0613,-0.0443,-0.0842,0.113
2.517,0.0278,-0.0021,-0.1536,0.156
2.517,-0.0413,0.0713,-0.2013,0.218
2.518,-0.1223,0.1431,-0.2083,0.281
2.518,-0.1941,0.18,-0.1628,0.311
2.518,-0.2837,0.2159,-0.1291,0.379
2.518,-0.3197,0.2104,-0.0955,0.394
2.522,-0.3289,0.2494,-0.0739,0.419
2.526,-0.3114,0.2633,-0.0928,0.418
2.53,-0.2689,0.2379,-0.0927,0.371
2.535,-0.2322,0.1966,-0.0876,0.317
2.541,-0.1813,0.1295,-0.0898,0.24
2.547,-0.0891,0.0552,-0.0752,0.129
2.549,-0.0075,-0.0147,-0.046,0.049
2.554,0.0943,-0.0969,0.0446,0.142
2.561,0.1857,-0.1728,0.1321,0.286
2.564,0.2002,-0.2048,0.2022,0.351
2.569,0.157,-0.1932,0.1791,0.307
